Dataset,Subset,Metric,n,rho,p,q_BH,sig,CI_lo,CI_hi
Japan,All,Total_power,37,0.02394499762920815,0.8881285811956215,0.8881285811956215,,-0.29830903183660973,0.3386619787314553
Japan,All,LF_HF,37,0.07657657657657657,0.6523699441071515,0.8302890197727383,,-0.2613099201174493,0.3959365387410397
Japan,All,LF_norm,37,0.23257467994310096,0.16598493994726365,0.30792728056847124,,-0.1248655219052127,0.5423529266655973
Japan,All,HF_norm,37,-0.06164058795637742,0.7170374842894289,0.8365437316710004,,-0.3629778140942319,0.25108601735946884
Japan,All,DFA_alpha1,37,-0.0867709815078236,0.6095915922378001,0.8302890197727383,,-0.4260866544659802,0.25985628631889235
Japan,All,DFA_alpha2,0,,,,,,
Japan,PD,SDNN,21,0.448051948051948,0.041656189956785605,0.3792497963794656,,0.051533799709012,0.7673415771023537
Japan,PD,RMSSD,21,0.2155844155844156,0.34796751366229983,0.6959350273245997,,-0.2468381147858816,0.606285046828847
Japan,PD,pNN50,21,0.23636363636363636,0.30228813585284137,0.6959350273245997,,-0.216450304372503,0.6129954738096041
Japan,PD,SDANN,21,0.35194805194805195,0.11767322930096193,0.5491417367378223,,-0.093865653214811,0.6974885674600165
Japan,PD,SD1,21,0.2155844155844156,0.34796751366229983,0.6959350273245997,,-0.264612701357688,0.6207924516634374
Japan,PD,SD2,21,0.425974025974026,0.054178542339923655,0.3792497963794656,,-0.05623390184476158,0.7522207493227399
Japan,PD,SD1SD2,0,,,,,,
Japan,PD,VLF_power,21,-0.05844155844155843,0.8013282220179797,0.8712435420745898,,-0.5329658110440035,0.406244162322652
Japan,PD,LF_power,21,-0.05454545454545454,0.814342822105269,0.8712435420745898,,-0.49492010595943886,0.39126665327709703
Japan,PD,HF_power,21,-0.16233766233766234,0.4820201872355596,0.8435353276622293,,-0.5705381434043981,0.2643343791157606
Japan,PD,Total_power,21,-0.06623376623376624,0.7754535475659065,0.8712435420745898,,-0.5046206984080936,0.3600404699738904
Japan,PD,LF_HF,21,0.087012987012987,0.7076308010268806,0.8712435420745898,,-0.3623134626590143,0.5017299396031062
Japan,PD,LF_norm,21,0.26883116883116887,0.23865637920307142,0.6959350273245997,,-0.22812654454549297,0.7074755972722714
Japan,PD,HF_norm,21,-0.03766233766233767,0.8712435420745898,0.8712435420745898,,-0.5052736439624811,0.3670121677796226
Japan,PD,DFA_alpha1,21,-0.09480519480519481,0.6827070112424534,0.8712435420745898,,-0.5398012945958152,0.3563149182282705
Japan,PD,DFA_alpha2,0,,,,,,
Japan,HC,SDNN,16,0.12058823529411765,0.6564245147485952,0.9655081698956275,,-0.4482785186759471,0.5822828224148717
Japan,HC,RMSSD,16,-0.014705882352941175,0.956891924031642,0.9655081698956275,,-0.5314698055044246,0.4993854127277174
Japan,HC,pNN50,16,0.4176470588235294,0.1074740793993006,0.9655081698956275,,-0.14421601344603316,0.8198400193915889
Japan,HC,SDANN,16,-0.31176470588235294,0.23980004767411284,0.9655081698956275,,-0.7414922585216229,0.18784991121053476
Japan,HC,SD1,16,-0.014705882352941175,0.956891924031642,0.9655081698956275,,-0.5219655446857153,0.5016233853155746
Japan,HC,SD2,16,0.16764705882352943,0.5348568245819433,0.9655081698956275,,-0.3730945250885816,0.6076638282117731
Japan,HC,SD1SD2,0,,,,,,
Japan,HC,VLF_power,16,0.3529411764705882,0.17995865788498183,0.9655081698956275,,-0.24748847632815482,0.7848395215836855
Japan,HC,LF_power,16,0.14705882352941177,0.5867933937012053,0.9655081698956275,,-0.46135849485971303,0.5989451770678552
Japan,HC,HF_power,16,0.03529411764705882,0.8967532476935333,0.9655081698956275,,-0.5187873976038274,0.515826642678768
Japan,HC,Total_power,16,0.14705882352941177,0.5867933937012053,0.9655081698956275,,-0.45719943045296785,0.6418176972281452
